methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.9955±0.0,0.984±0.01,1.0±0.0,0.9619±0.01,0.9167±0.02,0.9921±0.01,0.8651±0.05,0.9516±0.06,0.8788±0.05,0.9152±0.02,0.916±0.01,0.9273±0.05,0.9121±0.05,0.0489±0.02,0.0998±0.02,0.871±0.04,0.1818±0.09,0.0196±0.03,0.8182±0.09,0.9804±0.03,0.0877±0.01,0.191±0.02,0.2±0.0,0.0333±0.06,0.0±0.0,0.9667±0.06,1.0±0.0,0.0333±0.01,0.039±0.02,0.984±0.01,0.0272±0.02,0.0635±0.03,0.0588±0.06,0.0104±0.02,0.1212±0.05,0.0±0.0
resampling,0.9968±0.0,0.9893±0.01,1.0±0.0,0.9619±0.01,0.9167±0.02,0.9921±0.01,0.8651±0.05,0.9516±0.06,0.8788±0.05,0.9152±0.02,,,,,,,,,,,,,,,,,,,,,0.0272±0.02,0.0635±0.03,0.0588±0.06,0.0104±0.02,0.1212±0.05,0.0±0.0
DomainInd,0.9883±0.01,0.9679±0.02,1.0±0.0,0.9571±0.01,0.8929±0.04,1.0±0.0,0.881±0.06,0.9412±0.06,0.8182±0.09,0.8797±0.04,0.885±0.05,0.9443±0.03,0.9023±0.03,0.0472±0.0,0.1433±0.03,0.8245±0.06,0.1515±0.14,0.0784±0.07,0.8485±0.14,0.9216±0.07,0.1078±0.01,0.3287±0.07,0.2±0.0,0.0±0.0,0.0±0.0,1.0±0.0,1.0±0.0,0.0179±0.0,0.0197±0.0,0.9679±0.02,0.0204±0.02,0.0952±0.05,0.0588±0.06,0.0±0.0,0.1818±0.09,0.0±0.0
LAFTR,0.9916±0.01,0.975±0.02,1.0±0.0,0.9667±0.01,0.9286±0.04,0.9921±0.01,0.9087±0.05,1.0±0.0,0.8455±0.13,0.9227±0.07,0.9281±0.06,0.9225±0.03,0.9227±0.07,0.0336±0.01,0.0978±0.03,0.8312±0.13,0.1515±0.05,0.0196±0.03,0.8485±0.05,0.9804±0.03,0.07±0.02,0.1879±0.06,0.2±0.0,0.0333±0.06,0.0±0.0,0.9667±0.06,1.0±0.0,0.0313±0.01,0.0377±0.01,0.975±0.02,0.0±0.0,0.1111±0.03,0.0±0.0,0.0±0.0,0.1818±0.09,0.0333±0.06
CFair,0.9935±0.01,0.9786±0.02,1.0±0.0,0.9619±0.02,0.9167±0.02,0.9921±0.01,0.873±0.04,0.9608±0.03,0.8818±0.06,0.9213±0.01,,,,,,,,,,,,,,,,,,,,,0.0136±0.01,0.0952±0.05,0.0392±0.03,0.0±0.0,0.1515±0.05,0.0333±0.06
LNL,0.9793±0.01,0.9608±0.02,0.9979±0.0,0.9429±0.01,0.881±0.02,0.9841±0.03,0.8929±0.07,0.9516±0.04,0.8152±0.15,0.8834±0.06,0.8918±0.06,0.9089±0.06,0.8463±0.09,0.081±0.01,0.1881±0.01,0.8463±0.03,0.2727±0.16,0.0392±0.03,0.7273±0.16,0.9608±0.03,0.1295±0.05,0.3103±0.03,0.4116±0.37,0.0667±0.06,0.0312±0.03,0.9333±0.06,0.9688±0.03,0.0812±0.02,0.1066±0.03,0.9608±0.02,0.0272±0.03,0.127±0.03,0.0588±0.06,0.0104±0.02,0.2121±0.1,0.0333±0.06
EnD,0.9971±0.0,0.9911±0.01,1.0±0.0,0.9667±0.02,0.9405±0.02,0.9841±0.01,0.881±0.01,0.9908±0.02,0.9121±0.01,0.9515±0.01,,,,,,,,,,,,,,,,,,,,,0.0136±0.02,0.0794±0.05,0.0196±0.03,0.0104±0.02,0.1212±0.05,0.0333±0.06
ODR,0.8784±0.14,0.9037±0.08,0.8438±0.21,0.8429±0.14,0.7976±0.17,0.873±0.12,0.9603±0.04,0.9779±0.04,0.9152±0.09,0.9465±0.05,,,,,,,,,,,,,,,,,,,,,0.034±0.06,0.4444±0.49,0.0196±0.03,0.0417±0.07,0.4848±0.45,0.4±0.53
GroupDRO,0.9913±0.01,0.9715±0.02,1.0±0.0,0.9571±0.01,0.8929±0.04,1.0±0.0,0.8571±0.05,0.9216±0.03,0.8485±0.1,0.885±0.05,,,,,,,,,,,,,,,,,,,,,0.0272±0.01,0.0794±0.05,0.0784±0.03,0.0±0.0,0.1515±0.1,0.0±0.0
SWAD,0.9488±0.02,0.9198±0.03,0.9562±0.03,0.9±0.01,0.881±0.02,0.9127±0.01,0.9325±0.05,0.9675±0.03,0.9152±0.08,0.9413±0.05,0.9307±0.04,0.874±0.01,0.8942±0.09,0.079±0.02,0.2575±0.03,0.7642±0.05,0.2727±0.09,0.0196±0.03,0.7273±0.09,0.9804±0.03,0.1542±0.03,0.3312±0.04,0.9005±0.05,0.1667±0.12,0.0521±0.02,0.8333±0.12,0.9479±0.02,0.0595±0.02,0.2083±0.04,0.9198±0.03,0.0408±0.02,0.2381±0.08,0.0196±0.03,0.0521±0.02,0.2727±0.09,0.2±0.1
resamplingSWAD,0.9971±0.0,0.9893±0.01,1.0±0.0,0.9667±0.01,0.9286±0.0,0.9921±0.01,0.877±0.04,0.9712±0.03,0.8788±0.05,0.925±0.02,0.9348±0.03,0.9415±0.05,0.9258±0.03,,,0.8933±0.04,0.1212±0.05,0.0196±0.03,0.8788±0.05,0.9804±0.03,,,0.2±0.0,0.0±0.0,0.0104±0.02,1.0±0.0,0.9896±0.02,,,0.9893±0.01,0.0204±0.02,0.0635±0.03,0.0392±0.03,0.0104±0.02,0.1212±0.05,0.0±0.0
SAM,0.9744±0.0,0.9679±0.01,0.975±0.01,0.9381±0.02,0.9286±0.04,0.9444±0.01,0.8532±0.02,0.9908±0.02,0.897±0.02,0.9439±0.0,1.0±0.0,0.9391±0.03,0.9833±0.01,0.3±0.0,4.6322±1.04,0.8773±0.04,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.3929±0.0,6.0988±1.31,0.8235±0.21,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.2381±0.0,3.6545±0.85,0.9636±0.01,0.0136±0.02,0.1746±0.05,0.0196±0.03,0.0104±0.02,0.1515±0.05,0.2±0.1
