methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.9089±0.001,0.82±0.007,0.7863±0.004,0.8737±0.002,0.8605±0.011,0.9323±0.001,0.8495±0.014,0.909±0.002,0.8953±0.012,0.9086±0.004,0.803±0.026,0.8538±0.01,0.0284±0.004,0.3748±0.001,0.7762±0.009,0.2131±0.01,0.2147±0.013,0.7869±0.01,0.7853±0.013,0.0521±0.005,0.4432±0.004,0.931±0.006,0.3288±0.014,0.0671±0.004,0.6712±0.014,0.9329±0.004,0.0591±0.01,0.3141±0.0,0.8073±0.008,0.2998±0.011,0.0848±0.006,0.7002±0.011,0.9152±0.006,0.0404±0.008,0.3062±0.006,0.8306±0.021,0.3542±0.036,0.0333±0.008,0.6458±0.036,0.9667±0.008,0.0434±0.012,0.2678±0.004,0.5852±0.103,0.3333±0.0,0.1228±0.03,0.6667±0.0,0.8772±0.03,0.1904±0.014,0.3883±0.017,0.8538±0.01,0.1708±0.032,0.1927±0.028,0.2888±0.05,0.0909±0.013,0.1146±0.026,0.0571±0.014,0.1754±0.03,0.163±0.027,0.242±0.055,0.2694±0.024,0.3125±0.0,0.3333±0.0,8bb55af039,0.9323,0.8538,0.07850000000000001
resampling,0.909±0.0,0.8238±0.004,0.7858±0.004,0.8746±0.0,0.8634±0.004,0.9332±0.002,0.8594±0.004,0.9081±0.001,0.8992±0.007,0.906±0.001,0.803±0.026,0.848±0.01,0.0421±0.0,0.3794±0.0,0.7806±0.001,0.1486±0.002,0.3211±0.007,0.8514±0.002,0.6789±0.007,0.0321±0.002,0.4331±0.0,0.9358±0.001,0.2329±0.0,0.1039±0.0,0.7671±0.0,0.8961±0.0,0.0616±0.005,0.3132±0.004,0.7959±0.004,0.2481±0.005,0.1265±0.002,0.7519±0.005,0.8735±0.002,0.0749±0.001,0.3293±0.0,0.8457±0.025,0.3125±0.0,0.0619±0.008,0.6875±0.0,0.9381±0.008,0.0859±0.004,0.2841±0.002,0.5259±0.103,0.3333±0.0,0.2105±0.0,0.6667±0.0,0.7895±0.0,0.2077±0.043,0.4634±0.009,0.848±0.01,0.1598±0.021,0.1989±0.02,0.2785±0.04,0.0801±0.016,0.1022±0.01,0.0524±0.008,0.1754±0.03,0.1708±0.02,0.2557±0.029,0.2679±0.018,0.3125±0.0,0.3333±0.0,e737f30cad,0.9332,0.848,0.08520000000000005
DomainInd,0.905±0.001,0.8084±0.003,0.7834±0.0,0.8729±0.0,0.8708±0.003,0.9343±0.001,0.8224±0.008,0.9079±0.001,0.8682±0.007,0.8967±0.006,0.7879±0.026,0.8596±0.0,0.1388±0.007,0.8166±0.048,0.7683±0.006,0.3438±0.02,0.1051±0.015,0.6562±0.02,0.8949±0.015,0.1887±0.013,1.0153±0.074,0.9248±0.002,0.3607±0.016,0.0498±0.007,0.6393±0.016,0.9502±0.007,0.1261±0.001,0.6414±0.027,0.8066±0.005,0.3516±0.009,0.0541±0.006,0.6484±0.009,0.9459±0.006,0.0958±0.004,0.6124±0.021,0.8056±0.06,0.4167±0.072,0.0286±0.0,0.5833±0.072,0.9714±0.0,0.0953±0.005,0.5756±0.032,0.6444±0.0,0.3333±0.0,0.0526±0.0,0.6667±0.0,0.9474±0.0,0.1222±0.006,0.7677±0.019,0.8596±0.0,0.21±0.013,0.166±0.011,0.3172±0.019,0.1169±0.006,0.1655±0.011,0.0905±0.008,0.193±0.03,0.1486±0.014,0.1553±0.016,0.2177±0.003,0.3125±0.0,0.3333±0.0,d930e7d914,0.9343,0.8596,0.07469999999999999
LAFTR,0.9089±0.001,0.824±0.008,0.7891±0.007,0.8746±0.002,0.8605±0.009,0.9315±0.0,0.8562±0.011,0.908±0.001,0.8953±0.012,0.9068±0.004,0.8182±0.045,0.848±0.01,0.0267±0.003,0.3752±0.001,0.7833±0.007,0.1773±0.007,0.2753±0.008,0.8227±0.007,0.7247±0.008,0.0367±0.004,0.4345±0.002,0.9274±0.005,0.2603±0.014,0.0801±0.02,0.7397±0.014,0.9199±0.02,0.0494±0.006,0.3131±0.002,0.8154±0.001,0.2785±0.008,0.1027±0.005,0.7215±0.008,0.8973±0.005,0.0558±0.003,0.3178±0.003,0.828±0.019,0.3125±0.0,0.0571±0.0,0.6875±0.0,0.9429±0.0,0.0757±0.007,0.2724±0.003,0.5259±0.103,0.3333±0.0,0.1404±0.03,0.6667±0.0,0.8596±0.03,0.1856±0.007,0.43±0.005,0.848±0.01,0.1567±0.035,0.2026±0.03,0.2656±0.058,0.0822±0.026,0.1045±0.022,0.0571±0.014,0.1579±0.053,0.1738±0.029,0.2603±0.055,0.274±0.028,0.3125±0.0,0.3333±0.0,b01e26ec0b,0.9315,0.848,0.08350000000000002
CFair,0.9094±0.001,0.8204±0.004,0.7858±0.002,0.8751±0.001,0.862±0.009,0.9325±0.001,0.8513±0.009,0.9092±0.001,0.8953±0.0,0.9027±0.003,0.7879±0.026,0.8596±0.0,0.0369±0.018,0.3784±0.008,0.7792±0.008,0.2305±0.041,0.196±0.054,0.7695±0.041,0.804±0.054,0.0713±0.03,0.4503±0.017,0.9272±0.005,0.3333±0.042,0.0519±0.017,0.6667±0.042,0.9481±0.017,0.059±0.009,0.3194±0.005,0.8091±0.004,0.3166±0.032,0.0779±0.017,0.6834±0.032,0.9221±0.017,0.0382±0.006,0.3052±0.004,0.8245±0.026,0.3333±0.036,0.0381±0.016,0.6667±0.036,0.9619±0.016,0.0416±0.009,0.2675±0.004,0.6444±0.0,0.3333±0.0,0.1053±0.0,0.6667±0.0,0.8947±0.0,0.1808±0.047,0.3828±0.025,0.8596±0.0,0.1793±0.017,0.18±0.015,0.305±0.024,0.0974±0.006,0.1188±0.015,0.0571±0.0,0.193±0.03,0.1529±0.014,0.2238±0.04,0.2481±0.012,0.3125±0.0,0.3333±0.0,6a241f10c1,0.9325,0.8596,0.07289999999999996
LNL,0.9081±0.001,0.8217±0.005,0.7871±0.001,0.8741±0.001,0.8678±0.004,0.9323±0.005,0.8495±0.013,0.9033±0.003,0.9147±0.007,0.9137±0.002,0.803±0.026,0.8538±0.01,0.0603±0.019,0.3905±0.007,0.7777±0.003,0.1795±0.085,0.276±0.124,0.8205±0.085,0.724±0.124,0.0676±0.037,0.452±0.018,0.9253±0.009,0.2694±0.159,0.0801±0.036,0.7306±0.159,0.9199±0.036,0.0728±0.013,0.3261±0.011,0.8071±0.02,0.2938±0.073,0.11±0.061,0.7062±0.073,0.89±0.061,0.0657±0.04,0.3321±0.027,0.8333±0.007,0.3125±0.062,0.0476±0.036,0.6875±0.062,0.9524±0.036,0.0792±0.032,0.2749±0.02,0.5852±0.103,0.3333±0.0,0.1579±0.053,0.6667±0.0,0.8421±0.053,0.2037±0.06,0.4295±0.081,0.8538±0.01,0.1757±0.031,0.1818±0.031,0.305±0.049,0.0909±0.023,0.1155±0.023,0.0334±0.008,0.1754±0.03,0.1508±0.032,0.2192±0.063,0.2664±0.019,0.3125±0.0,0.3333±0.0,bd5f0601e5,0.9323,0.8538,0.07850000000000001
EnD,0.9087±0.001,0.821±0.009,0.7878±0.004,0.8755±0.001,0.8605±0.01,0.9312±0.0,0.8499±0.018,0.9064±0.001,0.9031±0.029,0.9048±0.001,0.7879±0.026,0.8596±0.0,0.0256±0.003,0.3748±0.002,0.7784±0.001,0.1961±0.005,0.2334±0.002,0.8039±0.005,0.7666±0.002,0.0453±0.005,0.4368±0.002,0.934±0.01,0.2922±0.008,0.0779±0.006,0.7078±0.008,0.9221±0.006,0.0535±0.006,0.3164±0.003,0.8005±0.007,0.2953±0.003,0.0935±0.001,0.7047±0.003,0.9065±0.001,0.0456±0.001,0.3133±0.002,0.8334±0.012,0.3125±0.0,0.0238±0.008,0.6875±0.0,0.9762±0.008,0.0665±0.007,0.2693±0.001,0.6444±0.0,0.3333±0.0,0.193±0.03,0.6667±0.0,0.807±0.03,0.1775±0.005,0.421±0.003,0.8596±0.0,0.167±0.045,0.1955±0.042,0.2805±0.071,0.0909±0.023,0.1133±0.033,0.0476±0.036,0.193±0.03,0.166±0.042,0.242±0.08,0.2724±0.032,0.3125±0.0,0.3333±0.0,e43d3b9a44,0.9312,0.8596,0.0716
ODR,0.9046±0.002,0.8142±0.005,0.7803±0.001,0.8689±0.002,0.8693±0.005,0.9238±0.004,0.8404±0.013,0.9043±0.001,0.8915±0.013,0.9116±0.001,0.7879±0.026,0.8421±0.018,0.0312±0.006,0.3857±0.004,0.7681±0.005,0.1978±0.036,0.2527±0.049,0.8022±0.036,0.7473±0.049,0.046±0.023,0.4523±0.012,0.8895±0.015,0.3059±0.048,0.0606±0.026,0.6941±0.048,0.9394±0.026,0.0543±0.006,0.3316±0.013,0.8108±0.013,0.3014±0.048,0.0972±0.022,0.6986±0.048,0.9028±0.022,0.0501±0.015,0.3193±0.008,0.8581±0.015,0.3333±0.036,0.0286±0.014,0.6667±0.036,0.9714±0.014,0.0578±0.012,0.2627±0.005,0.4756±0.08,0.3333±0.0,0.1579±0.053,0.6667±0.0,0.8421±0.053,0.1706±0.002,0.3983±0.024,0.8421±0.018,0.197±0.023,0.1704±0.02,0.3346±0.028,0.0822±0.025,0.1357±0.022,0.0714±0.025,0.193±0.03,0.1421±0.019,0.2329±0.036,0.239±0.023,0.2708±0.036,0.3333±0.0,3d6bed47bd,0.9238,0.8421,0.0817
GroupDRO,0.8806±0.013,0.7905±0.018,0.7673±0.009,0.848±0.012,0.8576±0.022,0.9192±0.005,0.7988±0.027,0.8696±0.013,0.876±0.044,0.8991±0.012,0.7576±0.026,0.7076±0.01,0.0877±0.017,0.4544±0.03,0.7247±0.025,0.1847±0.044,0.3159±0.043,0.8153±0.044,0.6841±0.043,0.0844±0.035,0.5032±0.037,0.8927±0.01,0.1781±0.036,0.1299±0.022,0.8219±0.036,0.8701±0.022,0.1069±0.011,0.3783±0.025,0.7655±0.019,0.2725±0.035,0.1669±0.011,0.7275±0.035,0.8331±0.011,0.1221±0.009,0.4122±0.022,0.8299±0.047,0.2708±0.036,0.0714±0.025,0.7292±0.036,0.9286±0.025,0.1794±0.029,0.3696±0.036,0.2889±0.154,0.3333±0.0,0.2105±0.0,0.6667±0.0,0.7895±0.0,0.2765±0.015,0.5424±0.005,0.7076±0.01,0.23±0.039,0.1812±0.013,0.3372±0.032,0.1407±0.047,0.1861±0.043,0.0904±0.058,0.2281±0.03,0.1621±0.012,0.1461±0.032,0.2511±0.025,0.2708±0.036,0.3333±0.0,190ff718c7,0.9192,0.7076,0.2116
SWAD,0.9062±0.0,0.8123±0.008,0.7774±0.005,0.8708±0.001,0.8722±0.008,0.9313±0.0,0.8369±0.014,0.905±0.001,0.8953±0.02,0.911±0.001,0.8485±0.026,0.8421±0.0,0.0263±0.002,0.3798±0.0,0.778±0.006,0.2113±0.002,0.2199±0.005,0.7887±0.002,0.7801±0.005,0.054±0.003,0.4483±0.001,0.9186±0.003,0.3151±0.014,0.0758±0.004,0.6849±0.014,0.9242±0.004,0.0661±0.014,0.315±0.001,0.8111±0.009,0.3166±0.007,0.0935±0.006,0.6834±0.007,0.9065±0.006,0.041±0.003,0.3131±0.001,0.8438±0.031,0.3333±0.036,0.0143±0.0,0.6667±0.036,0.9857±0.0,0.0679±0.005,0.2611±0.001,0.4667±0.0,0.3333±0.0,0.1053±0.0,0.6667±0.0,0.8947±0.0,0.1885±0.009,0.3927±0.004,0.8421±0.0,0.2004±0.038,0.1701±0.033,0.3366±0.058,0.1039±0.011,0.1385±0.03,0.0714±0.025,0.1228±0.03,0.1455±0.031,0.1781±0.047,0.245±0.038,0.25±0.0,0.3333±0.0,276b351dc3,0.9313,0.8421,0.08920000000000006
